"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
15747,"0717999",1,"Via","07179990005",,0,"164,28","832228,6284","1185675,6688","Estación Robledo","129,825535598065","07"
108,"0702005",1,"Normal","07020050017",,0,"496,8","833576,5296","1185703,6805","Parada Pilarica","40,995384314581","07"
2993,"0702005",1,"Normal","07020050022",,0,"503,05","833632,2341","1185700,169","Parada Pilarica","41,6530616601347","07"
4420,"0702005",1,"Normal","07020050020",,0,"82,8","833616,7681","1185711,6929","Parada Pilarica","23,373641002258","07"
4421,"0702005",1,"Normal","07020050026",,0,"199,18","833666,2228","1185698,8681","Parada Pilarica","69,0661833360512","07"
4422,"0702005",1,"Normal","07020050027",,0,"178,62","833673,5321","1185697,1511","Parada Pilarica","76,3187062393897","07"
7577,"0702005",1,"Normal","07020050025",,0,"181,09","833658,1133","1185700,6389","Parada Pilarica","61,1616620004856","07"
7693,"0702005",1,"Normal","07020050028",,0,"223,22","833680,871","1185695,712","Parada Pilarica","83,5200314598105","07"
9209,"0702005",1,"Normal","07020050021",,0,"206,53","833622,1436","1185704,8117","Parada Pilarica","32,0250482859647","07"
9215,"0702005",1,"Normal","07020050023",,0,"252,2","833643,2644","1185698,2294","Parada Pilarica","50,6768994707349","07"
283172,"0702005",1,"Normal","07020050024",,0,"134,58","833651,2598","1185702,4666","Parada Pilarica","54,3896077083741","07"
284148,"0702005",1,"Normal","07020050029",,0,"234,42","833693,8225","1185702,5533","Parada Pilarica","92,8978480931342","07"
284886,"0702005",1,"Normal","07020050030",,0,"135,01","833692,3707","1185690,8257","Parada Pilarica","96,0036384209305","07"
49,"0702003",1,"Normal","07020030035",,0,"55,61","833454,9308","1185715,1161","Parada Pilarica","151,833086184779","07"
106,"0702005",1,"Normal","07020050008",,0,"230,8","833502,4578","1185712,5548","Parada Pilarica","105,215342496447","07"
2994,"0702005",1,"Normal","07020050015",,0,"134,7","833554,2173","1185702,2232","Parada Pilarica","59,7552742442285","07"
5975,"0702004",1,"Normal","07020040037",,0,"173,41","833484,1019","1185709,0024","Parada Pilarica","123,909567924617","07"
6169,"0702005",1,"Normal","07020050014",,0,"118,82","833546,5157","1185700,0336","Parada Pilarica","67,5405136195958","07"
7576,"0702005",1,"Normal","07020050016",,0,"124,91","833563,3056","1185706,5366","Parada Pilarica","49,7347342538382","07"
10697,"0702003",1,"Normal","07020030016",,0,"39,3","833441,1792","1185713,3803","Parada Pilarica","165,69029864792","07"
10700,"0702005",1,"Normal","07020050007",,0,"308,55","833510,13","1185704,2333","Parada Pilarica","99,7188482762558","07"
12490,"0702005",1,"Normal","07020050009",,0,"422,28","833523,2986","1185707,0989","Parada Pilarica","86,2824821637821","07"
13606,"0702005",1,"Normal","07020050013",,0,"61,79","833540,7254","1185698,3386","Parada Pilarica","73,4478440270921","07"
13836,"0702005",1,"Normal","07020050010",,0,"30,85","833531,4043","1185716,6919","Parada Pilarica","76,0238996915766","07"
15461,"0702004",1,"Normal","07020040020",,0,"144,76","833470,9686","1185714,5012","Parada Pilarica","135,994241599708","07"
16454,"0702003",1,"Normal","07020030018",,0,"42,76","833449,6897","1185714,2454","Parada Pilarica","157,138390451576","07"
284139,"0702003",1,"Normal","07020030017",,0,"31,26","833445,3577","1185713,6968","Parada Pilarica","161,504003695391","07"
3046,"0702001",1,"Normal","07020010058",,0,"462,33","833290,4055","1185668,6349","Parada Pilarica","321,73781885815","07"
3095,"0702002",1,"Normal","07020020004",,0,"531,52","833394,6495","1185706,4682","Parada Pilarica","212,702569417283","07"
7648,"0702001",1,"Normal","07020010057",,0,"396,4","833293,247","1185686,9526","Parada Pilarica","315,789760263074","07"
9388,"0702001",1,"Normal","07020010012",,0,"403,03","833274,698","1185678,8277","Parada Pedro Nel Gómez","313,796865558333","07"
10879,"0702001",1,"Normal","07020010009",,0,"652,93","833158,9821","1185616,9397","Parada Pedro Nel Gómez","195,000301717459","07"
3683,"0703002",1,"Lote","07030020106",,0,"8,15","832491,8024","1185583,1014","Estación Robledo","153,894181216541","07"
9091,"0703002",1,"Lote","07030020147",,0,"216,57","832479,1158","1185579,6209","Estación Robledo","144,790582944551","07"
10766,"0707002",1,"Lote","07070020049",,,"840,73","833495,4009","1185757,3422","Parada Pilarica","113,21898926807","07"
4998,"0706001",1,"Lote","07060010082",,0,"44,83","833442,8778","1185743,8397","Parada Pilarica","163,315809277163","07"
6670,"0706003",1,"Normal","07060030001","0",,"1157,41","833153,7004","1185673,1942","Parada Pedro Nel Gómez","193,795779307161","07"
8047,"0706003",1,"Normal","07060030002","0",,"582,36","833125,6056","1185658,9212","Parada Pedro Nel Gómez","163,462100825799","07"
12303,"0706003",1,"Normal","07060030016","0",,"651,7","833106,3203","1185659,8779","Parada Pedro Nel Gómez","144,684129442891","07"
2540,"0703003",1,"Normal","07030030026",,0,"226,26","832310,0237","1185652,5883","Estación Robledo","47,4305141440434","07"
3562,"0703003",1,"Normal","07030030020",,0,"136,21","832276,957","1185665,9595","Estación Robledo","80,6717901480876","07"
6532,"0703003",1,"Normal","07030030041",,0,"382,71","832375,6779","1185616,8276","Estación Robledo","44,8206068162788","07"
6700,"0703003",1,"Normal","07030030028",,0,"248,11","832318,5711","1185639,6832","Estación Robledo","42,5756466862757","07"
8027,"0703003",1,"Normal","07030030040",,0,"349,96","832367,2722","1185620,3886","Estación Robledo","38,6017556522494","07"
8155,"0703003",1,"Normal","07030030022",,0,"220,61","832284,7081","1185662,5443","Estación Robledo","72,6528321686637","07"
8193,"0703003",1,"Normal","07030030023",,0,"219,36","832289,9229","1185658,7884","Estación Robledo","67,2773651353198","07"
9506,"0703003",1,"Normal","07030030025",,0,"129,91","832304,3346","1185658,0063","Estación Robledo","52,8594517270438","07"
10360,"0703003",1,"Normal","07030030031",,0,"89,18","832341,2602","1185649,5298","Estación Robledo","19,288591628776","07"
10519,"0703003",1,"Normal","07030030004",,0,"245,05","832239,4438","1185601,179","Estación Robledo","130,603509304477","07"
10630,"0703003",1,"Normal","07030030006",,0,"266,38","832247,0093","1185620,0326","Estación Robledo","116,416354137885","07"
10923,"0703003",1,"Normal","07030030017",,0,"194,38","832257,6456","1185640,9197","Estación Robledo","100,921996761696","07"
12074,"0703003",1,"Normal","07030030032",,0,"60,13","832338,2647","1185635,9057","Estación Robledo","26,7768993233329","07"
12562,"0703003",1,"Normal","07030030024",,0,"225,26","832295,5112","1185655,2735","Estación Robledo","61,7205874464615","07"
13433,"0703003",1,"Normal","07030030005",,0,"217,44","832241,8485","1185610,2748","Estación Robledo","124,693855712209","07"
13734,"0703003",1,"Normal","07030030038",,0,"414,81","832351,2802","1185628,2828","Estación Robledo","29,9396232062999","07"
14034,"0703003",1,"Normal","07030030039",,0,"328,37","832359,7403","1185624,3629","Estación Robledo","33,3763218327808","07"
14332,"0703003",1,"Normal","07030030019",,0,"417,01","832269,6823","1185669,9569","Estación Robledo","88,3835019740156","07"
15959,"0703003",1,"Normal","07030030045",,0,"188,38","832401,632","1185612,6631","Estación Robledo","63,2399383859202","07"
16899,"0703003",1,"Normal","07030030018",,0,"185,69","832262,3532","1185649,4269","Estación Robledo","95,1775172695142","07"
16949,"0703003",1,"Normal","07030030042",,0,"337,11","832383,7741","1185613,12","Estación Robledo","51,8746292362809","07"
17357,"0703003",1,"Normal","07030030046",,0,"312,93","832410,8308","1185608,372","Estación Robledo","72,8483891527361","07"
17511,"0703003",1,"Normal","07030030043",,0,"273,24","832393,0097","1185613,1105","Estación Robledo","57,1630831058705","07"
283501,"0703003",1,"Demolido","07030030021",,0,"108,87","832279,997","1185663,8978","Estación Robledo","77,4522561380551","07"
287692,"0703003",1,"Normal","07030030027",,0,"242,26","832312,9902","1185642,5665","Estación Robledo","46,6860753773159","07"
298953,"0707005",1,"Normal","07070050001",,0,"379,2","833712,7345","1185743,0753","Parada Pilarica","107,436054191363","07"
298954,"0707005",1,"Normal","07070050029",,0,"213,61","833722,4622","1185751,282","Parada Pilarica","118,161671233912","07"
7680,"0703003",1,"Normal","07030030033",,0,"72,56","832333,9934","1185630,0572","Estación Robledo","36,0346183670151","07"
50,"0702003",1,"Normal","07020030019",,0,"48,33","833452,7951","1185707,6497","Parada Pilarica","154,971199914181","07"
5951,"0702004",1,"Normal","07020040019",,0,"115,1","833470,4331","1185703,2395","Parada Pilarica","138,454466838952","07"
5952,"0702003",1,"Normal","07020030014",,0,"68,4","833443,1838","1185698,6912","Parada Pilarica","166,052273236979","07"
10918,"0702003",1,"Normal","07020030021",,0,"82,85","833451,7747","1185697,5805","Parada Pilarica","157,89356080913","07"
12241,"0702003",1,"Normal","07020030015",,0,"57,67","833443,8091","1185706,1374","Parada Pilarica","164,081962924671","07"
15462,"0702003",1,"Normal","07020030020",,0,"27,31","833452,8314","1185703,3799","Parada Pilarica","155,675813696923","07"
170896,"0707001",1,"Normal","07070010003",,0,"207,97","833634,9448","1185756,0889","Parada Pilarica","37,6580149168661","07"
254704,"0707001",1,"Normal","07070010004",,0,"206,07","833625,8593","1185756,3796","Parada Pilarica","31,3954388597464","07"
254706,"0707001",1,"Normal","07070010005",,0,"198,72","833616,7798","1185756,0652","Parada Pilarica","26,2526509699803","07"
254707,"0707001",1,"Normal","07070010006",,0,203,"833607,2939","1185755,8112","Parada Pilarica","23,6479661577326","07"
254708,"0707001",1,"Normal","07070010007",,0,"191,83","833597,3138","1185755,6146","Parada Pilarica","24,9019454888389","07"
254709,"0707001",1,"Normal","07070010008",,0,"186,64","833587,3642","1185756,0067","Parada Pilarica","30,1132455479033","07"
254710,"0707001",1,"Normal","07070010010",,0,"179,69","833564,2217","1185755,03","Parada Pilarica","47,4371859302321","07"
254711,"0707001",1,"Normal","07070010011",,0,"180,27","833551,5599","1185755,0269","Parada Pilarica","58,8499634751918","07"
254712,"0707001",1,"Normal","07070010012",,0,"206,12","833536,8595","1185754,3366","Parada Pilarica","72,4067757911172","07"
301035,"0707001",1,"Normal","07070010001",,0,"266,1","833660,5546","1185750,7908","Parada Pilarica","57,7853717763796","07"
301037,"0707001",1,"Normal","07070010002","2",0,241,"833644,9025","1185755,0174","Parada Pilarica","45,2417409875922","07"
301040,"0707001",1,"Normal","07070010009",,0,"201,41","833576,5074","1185755,5794","Parada Pilarica","37,4828202426506","07"
