"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
102174,"1422004",1,"Separador Vial o Zona Verde","14220040001",,0,"5058,13","833762,4202","1176997,1831","Parada Aguacatala","229,170466742616","14"
99814,"1423016",1,"Separador Vial o Zona Verde","14230160040",,0,"113,16","833675,5462","1177003,3739","Parada Aguacatala","144,775423772996","14"
100194,"1423018",1,"Edificio","14230180004",,2,"405,19","833765,165","1176851,8811","Parada Aguacatala","256,265152011016","14"
104338,"1423018",1,"Normal","14230180008",,0,"3177,05","833750,7467","1176794,8733","Parada Aguacatala","274,830440496199","14"
104749,"1423018",1,"Lote","14230180029",,0,"177,32","833746,7898","1176868,1736","Parada Aguacatala","233,151809572865","14"
106976,"1423016",1,"Normal","14230160032",,0,"466,1","833680,9233","1176779,9096","Parada Aguacatala","236,026395532717","14"
107064,"1423018",1,"Zona Comun","14230180004",,0,"3681,16","833785,0768","1176897,5661","Parada Aguacatala","258,633601412237","14"
107668,"1423018",1,"Edificio","14230180004",,1,"393,61","833815,3607","1176931,6155","Parada Aguacatala","281,869762651194","14"
96929,"1422016",1,"Normal","14220160003",,0,"489,55","833823,7394","1177221,2078","Parada Aguacatala","386,008002207285","14"
96931,"1422018",1,"Normal","14220180020",,0,"401,85","833716,9068","1177227,5012","Parada Aguacatala","319,566998013234","14"
96932,"1422018",1,"Normal","14220180022",,0,"843,97","833681,8815","1177172,1983","Parada Aguacatala","254,034048592357","14"
97123,"1422018",1,"Normal","14220180005",,0,"449,48","833692,1074","1177236,5159","Parada Aguacatala","313,976996388347","14"
97197,"1422017",1,"Normal","14220170016",,0,"420,67","833751,1742","1177141,0955","Parada Aguacatala","278,63157197211","14"
97198,"1422017",1,"Normal","14220170011",,0,"421,67","833721,971","1177133,6058","Parada Aguacatala","251,594808297834","14"
97201,"1422018",1,"Normal","14220180015",,0,"398,94","833689,6534","1177152,4409","Parada Aguacatala","242,966290067769","14"
97265,"1422018",1,"Normal","14220180001",,0,"439,39","833733,9908","1177261,2545","Parada Aguacatala","357,173263961198","14"
97331,"1422017",1,"Normal","14220170021",,0,"399,8","833778,8378","1177216,3226","Parada Aguacatala","350,210932442862","14"
97332,"1422016",1,"Normal","14220160007",,0,"443,95","833800,0746","1177162,2605","Parada Aguacatala","330,234760192056","14"
97415,"1422025",1,"Normal","14220250014",,0,"400,28","833791,8655","1177291,6458","Parada Aguacatala","415,842019768903","14"
97416,"1422025",1,"Normal","14220250015",,0,"396,11","833807,8323","1177289,1578","Parada Aguacatala","423,952637409586","14"
99803,"1422017",1,"Normal","14220170013",,0,"394,22","833726,3882","1177109,9352","Parada Aguacatala","239,812190760365","14"
99804,"1422018",1,"Normal","14220180014",,0,"397,66","833684,2458","1177137,4507","Parada Aguacatala","227,977257982493","14"
99871,"1422017",1,"Normal","14220170017",,0,"396,58","833756,8521","1177156,494","Parada Aguacatala","292,924187549575","14"
99906,"1422017",1,"Normal","14220170015",,0,"425,1","833745,3801","1177125,1394","Parada Aguacatala","264,158303348858","14"
100377,"1422025",1,"Normal","14220250016",,0,"829,51","833832,5418","1177285,7325","Parada Aguacatala","437,698154807098","14"
100770,"1422018",1,"Normal","14220180002",,0,"397,42","833718,4874","1177265,354","Parada Aguacatala","352,304907990669","14"
100897,"1422016",1,"Normal","14220160001",,0,"594,48","833836,9741","1177251,0812","Parada Aguacatala","416,041838674273","14"
