"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
67011,"1110018",1,"Normal","11100180002",,0,"343,79","831135,1219","1182024,425","Parada Villa del Aburrá","239,325763571599","11"
288284,"1110017",1,"Normal","11100170002",,0,"144,17","831130,9494","1181959,353","Parada Villa del Aburrá","174,787583831682","11"
65453,"1111015",1,"Normal","11110150026",,0,"103,18","831248,3756","1182832,3731","Parada Simón Bolivar","126,929200354593","11"
67659,"1111015",1,"Normal","11110150020",,0,"94,46","831252,2434","1182891,9001","Parada La América","163,727406680722","11"
68494,"1111015",1,"Normal","11110150021",,0,"105,34","831251,6836","1182883,3323","Parada La América","172,181191981545","11"
68537,"1111015",1,"Normal","11110150022",,0,"100,1","831250,6831","1182874,4252","Parada Simón Bolivar","168,051190476947","11"
68569,"1111015",1,"Normal","11110150018",,0,"94,43","831253,4249","1182909,1796","Parada La América","146,742154240822","11"
68880,"1111015",1,"Normal","11110150019",,0,"108,04","831252,8659","1182900,5563","Parada La América","155,212258047977","11"
71552,"1111015",1,"Normal","11110150027",,0,"199,99","831247,2666","1182819,3254","Parada Simón Bolivar","114,20201227077","11"
71632,"1111015",1,"Normal","11110150028",,0,"190,64","831246,089","1182802,5404","Parada Simón Bolivar","98,0833152516772","11"
73336,"1111015",1,"Normal","11110150025",,0,"95,82","831248,5236","1182840,8842","Parada Simón Bolivar","135,100860559917","11"
65856,"1111014",1,"Normal","11110140013",,0,"276,66","831239,4998","1182776,1243","Parada Simón Bolivar","71,2126045923663","11"
66412,"1109042",1,"Normal","11090420005",,0,"159,94","831225,3726","1182508,3551","Parada Simón Bolivar","205,289990045487","11"
184168,"1109035",1,"Normal","11090350012","1",0,261,"831221,6055","1182473,4044","Parada Simón Bolivar","240,006599221888","11"
64619,"1111015",1,"Normal","11110150017",,0,"235,52","831247,9904","1182918,4069","Parada La América","136,812184074346","11"
64685,"1111015",1,"Normal","11110150011",,0,"98,38","831241,5127","1182909,7202","Parada La América","144,831110430421","11"
66032,"1111015",1,"Normal","11110150004",,0,"120,95","831234,6797","1182806,6079","Parada Simón Bolivar","98,2026187865784","11"
66539,"1111015",1,"Normal","11110150002",,0,"49,69","831233,9672","1182796,897","Parada Simón Bolivar","89,1153994662762","11"
66582,"1111038",1,"Normal","11110380012",,0,"261,83","831251,7579","1183006,4459","Parada La América","51,881440206931","11"
67062,"1111015",1,"Normal","11110150007",,0,"203,15","831237,8035","1182854,1484","Parada Simón Bolivar","145,307233597058","11"
67490,"1111038",1,"Normal","11110380011",,0,"307,44","831249,0077","1182987,8635","Parada La América","68,5399729176377","11"
68892,"1111038",1,"Normal","11110380015",,0,"301,19","831262,3598","1183040,257","Parada La América","34,4420396316559","11"
70228,"1111015",1,"Normal","11110150003",,0,"28,16","831232,5621","1182800,4056","Parada Simón Bolivar","91,6418650746302","11"
70238,"1111015",1,"Normal","11110150009",,0,"207,25","831240,0988","1182888,1487","Parada La América","166,33008752287","11"
71216,"1111038",1,"Normal","11110380014",,0,"333,23","831250,6478","1183036,9406","Parada La América","26,1141875237871","11"
