"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
242587,"0519021",1,"Normal","05190210011",,0,"83,87","833724,3648","1185689,1638","Parada Pilarica","126,161975337171","05"
242588,"0519021",1,"Normal","05190210015",,0,"260,17","833739,6634","1185691,0131","Parada Pilarica","140,068476735828","05"
244991,"0519021",1,"Normal","05190210012",,0,"47,14","833724,8686","1185697,5806","Parada Pilarica","124,005861173093","05"
244992,"0519021",1,"Normal","05190210014",,0,"174,79","833732,2145","1185695,7367","Parada Pilarica","131,574260317583","05"
244993,"0519021",1,"Normal","05190210016",,0,"253,89","833747,6666","1185690,6483","Parada Pilarica","147,834280557021","05"
244994,"0519021",1,"Normal","05190210017",,0,"305,11","833756,3344","1185690,1423","Parada Pilarica","156,302750267944","05"
244995,"0519021",1,"Normal","05190210018",,0,"211,99","833764,3432","1185689,8303","Parada Pilarica","164,106487568219","05"
244996,"0519021",1,"Normal","05190210019",,0,"261,03","833771,6435","1185689,2923","Parada Pilarica","171,300661287391","05"
244997,"0519021",1,"Normal","05190210020",,0,"265,37","833779,777","1185688,9651","Parada Pilarica","179,261275293325","05"
244998,"0519021",1,"Normal","05190210021",,0,"208,31","833787,0791","1185688,588","Parada Pilarica","186,440945043423","05"
244999,"0519021",1,"Normal","05190210023",,0,"260,64","833804,2916","1185691,6494","Parada Pilarica","202,567217852169","05"
245003,"0519001",1,"Normal","05190010003",,0,"258,09","833775,8125","1185742,921","Parada Pilarica","170,286917064255","05"
245390,"0519021",1,"Normal","05190210013",,0,"49,01","833725,3707","1185704,1847","Parada Pilarica","122,800250364883","05"
311095,"0519021",1,"Normal","05190210022",,0,"255,92","833794,2463","1185687,9468","Parada Pilarica","193,559799920685","05"
163055,"0517019",1,"Normal","05170190003",,0,"451,52","834476,0276","1185897,132","Parada 65 Norte","382,385308907763","05"
163861,"0517019",1,"Normal","05170190001",,0,"3395,04","834442,3701","1185897,1132","Parada 65 Norte","349,541317579023","05"
242197,"0517018",1,"Normal","05170180046",,0,"80,1","834470,7241","1185839,2735","Parada 65 Norte","369,318159602353","05"
242198,"0517018",1,"Normal","05170180026",,0,"165,68","834422,6352","1185845,4069","Parada 65 Norte","321,80954119735","05"
242204,"0517021",1,"Normal","05170210035",,0,"112,17","834682,492","1185790,289","Estación Terminal del Norte","522,167084338226","05"
242208,"0517021",1,"Normal","05170210026",,0,"156,92","834613,0239","1185811,2887","Parada 65 Norte","510,987272705347","05"
242209,"0517021",1,"Normal","05170210036",,0,"137,96","834689,3792","1185788,6556","Estación Terminal del Norte","521,870564556453","05"
242210,"0517021",1,"Normal","05170210028",,0,"100,87","834628,1324","1185798,2794","Parada 65 Norte","526,411347685986","05"
242568,"0517021",1,"Normal","05170210033",,0,"53,11","834673,2315","1185792,3137","Estación Terminal del Norte","522,881007894574","05"
242574,"0517021",1,"Normal","05170210025",,0,"154,81","834611,3173","1185804,9782","Parada 65 Norte","509,399988725465","05"
242580,"0517021",1,"Normal","05170210032",,0,"57,32","834670,1739","1185792,9966","Estación Terminal del Norte","523,140477988669","05"
242581,"0517021",1,"Normal","05170210027",,0,"101,97","834624,2532","1185799,0962","Parada 65 Norte","522,505857650736","05"
242582,"0517021",1,"Normal","05170210031",,0,"112,39","834665,4861","1185794,1075","Estación Terminal del Norte","523,513428964928","05"
243387,"0517018",1,"Normal","05170180033",,0,"81,53","834455,3675","1185842,5086","Parada 65 Norte","354,20630284471","05"
