"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
75596,"1202031",1,"Normal","12020310008",,0,"178,75","831833,8841","1184828,2112","Parada Colombia","109,121470913452","12"
75935,"1202021",1,"Normal","12020210007",,0,"227,48","831775,5487","1184564,8109","Parada Colombia","359,416938217738","12"
76088,"1202008",1,"Normal","12020080016",,0,"269,48","831676,181","1184306,8195","Estación Floresta","188,971403923433","12"
76089,"1202008",1,"Normal","12020080013",,0,"172,29","831675,3684","1184331,3175","Estación Floresta","211,936060445467","12"
76104,"1202011",1,"Normal","12020110019",,0,"268,38","831693,7199","1184384,4396","Estación Floresta","257,351536590159","12"
76183,"1202004",1,"Normal","12020040015",,0,"247,22","831662,5119","1184233,2561","Estación Floresta","134,157272345554","12"
76184,"1202004",1,"Normal","12020040014",,0,"244,99","831647,0944","1184230,7332","Estación Floresta","143,332830744879","12"
76194,"1202002",1,"Normal","12020020010",,0,"290,02","831696,8311","1184201,8939","Estación Floresta","87,8610233519978","12"
76259,"1202004",1,"Normal","12020040001",,0,"218,16","831647,827","1184159,877","Estación Floresta","108,500484821968","12"
76272,"1202009",1,"Normal","12020090011",,0,"177,79","831733,7363","1184313,3908","Estación Floresta","180,145351598882","12"
76338,"1202002",1,"Normal","12020020022",,0,"391,34","831719,1237","1184209,5732","Estación Floresta","82,3999782435997","12"
76368,"1202031",1,"Normal","12020310019",,0,"156,38","831847,0222","1184887,4457","Parada Colombia","75,4848381097211","12"
76770,"1202020",1,"Normal","12020200003",,0,"236,29","831771,8606","1184451,2616","Estación Floresta","317,899637245546","12"
76865,"1202021",1,"Normal","12020210004",,0,"271,78","831789,8263","1184550,7953","Parada Colombia","366,899357629296","12"
76885,"1202009",1,"Normal","12020090012",,0,"413,87","831741,5313","1184306,0512","Estación Floresta","172,116129311715","12"
77463,"1202011",1,"Normal","12020110017",,0,"268,39","831698,3504","1184405,9464","Estación Floresta","277,425907911206","12"
77470,"1202004",1,"Normal","12020040021",,0,"290,84","831644,162","1184172,7819","Estación Floresta","115,655670683584","12"
77471,"1202004",1,"Normal","12020040018",,0,"351,09","831647,6143","1184202,7304","Estación Floresta","125,782549118297","12"
77503,"1202031",1,"Normal","12020310030",,0,"497,24","831846,8366","1184839,553","Parada Colombia","91,9780979214426","12"
77520,"1202031",1,"Normal","12020310006",,0,"212,78","831841,1152","1184829,7644","Parada Colombia","102,390289776896","12"
77651,"1202009",1,"Normal","12020090007",,0,"329,63","831718,7941","1184297,9809","Estación Floresta","167,231426245788","12"
77758,"1202031",1,"Normal","12020310009",,0,"158,9","831826,2679","1184821,4747","Parada Colombia","119,254616112843","12"
77869,"1202010",1,"Normal","12020100005",,0,"324,48","831733,5957","1184363,7758","Estación Floresta","230,461692169827","12"
77984,"1202021",1,"Normal","12020210010","0",0,225,"831781,4707","1184591,204","Parada Colombia","332,877221859555","12"
78126,"1202031",1,"Lote","12020310021",,0,"438,39","831863,8654","1184876,7439","Parada Colombia","60,4495750228436","12"
78202,"1202009",1,"Normal","12020090010",,0,"180,32","831726,8497","1184314,8986","Estación Floresta","182,522816070004","12"
78437,"1202002",1,"Normal","12020020009",,0,"339,95","831697,1709","1184191,6417","Estación Floresta","80,0268462844956","12"
78546,"1202011",1,"Normal","12020110016",,0,"268,38","831700,6656","1184416,6998","Estación Floresta","287,572506022743","12"
78547,"1202011",1,"Normal","12020110015",,0,"341,59","831703,2966","1184428,9197","Estación Floresta","299,178955016575","12"
78805,"1202004",1,"Normal","12020040016",,0,"219,09","831659,8834","1184221,2922","Estación Floresta","127,507376742805","12"
78808,"1202004",1,"Normal","12020040004",,0,"167,97","831609,8209","1184167,983","Estación Floresta","147,350609311022","12"
78835,"1202009",1,"Normal","12020090002",,0,"413,98","831730,4445","1184260,0636","Estación Floresta","127,658580569699","12"
79193,"1202010",1,"Normal","12020100004",,0,"239,75","831724,3387","1184352,5984","Estación Floresta","220,322477809516","12"
79214,"1202010",1,"Normal","12020100011",,0,"193,11","831753,4765","1184417,3612","Estación Floresta","283,359183810601","12"
79290,"1202009",1,"Normal","12020090005",,0,"313,48","831713,5487","1184276,559","Estación Floresta","147,605095320018","12"
79620,"1202008",1,"Normal","12020080017",,0,"378,75","831668,8398","1184297,2491","Estación Floresta","183,516018512804","12"
79634,"1202011",1,"Normal","12020110001",,0,"365,98","831688,6685","1184360,9777","Estación Floresta","235,857951708299","12"
79704,"1202010",1,"Normal","12020100003",,0,"196,83","831738,7466","1184349,4411","Estación Floresta","215,728460534982","12"
79763,"1202021",1,"Normal","12020210011","0",0,"213,93","831782,8408","1184600,1206","Parada Colombia","324,203956703942","12"
