"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
133465,"1607003",1,"Normal","16070030059",,0,"116,99","831921,6737","1179075,7622","Parada La Mota","90,1729799617207","16"
135519,"1607003",1,"Normal","16070030053",,0,"101,49","831945,8651","1179034,7885","Parada La Mota","137,568695582077","16"
135952,"1607003",1,"Normal","16070030048",,0,"101,49","831961,9072","1179003,6821","Parada La Mota","172,350986724363","16"
139848,"1607003",1,"Normal","16070030045",,0,"101,49","831971,5324","1178985,0183","Parada La Mota","193,272543958428","16"
139849,"1607003",1,"Normal","16070030049",,0,"101,49","831958,6988","1179009,9035","Parada La Mota","165,384300857718","16"
140993,"1607003",1,"Normal","16070030050",,0,"101,49","831955,4903","1179016,1247","Parada La Mota","158,422107944948","16"
140994,"1607003",1,"Normal","16070030057",,0,"101,49","831933,0312","1179059,6737","Parada La Mota","109,880323338912","16"
140995,"1607003",1,"Normal","16070030055",,0,"101,49","831939,4482","1179047,2312","Parada La Mota","123,703209735985","16"
141028,"1607003",1,"Normal","16070030056",,0,"101,49","831936,2397","1179053,4524","Parada La Mota","116,785481285369","16"
143281,"1607003",1,"Normal","16070030040",,0,"62,82","831984,4424","1178951,659","Parada La Mota","228,466272898373","16"
143283,"1607003",1,"Normal","16070030046",,0,"101,49","831968,324","1178991,2396","Parada La Mota","186,295501128698","16"
143285,"1607003",1,"Normal","16070030060",,0,"113,04","831933,1122","1179072,7976","Parada La Mota","99,8520570702436","16"
144246,"1607003",1,"Normal","16070030051",,0,"101,49","831952,2818","1179022,346","Parada La Mota","151,464890969276","16"
145990,"1607003",1,"Normal","16070030058",,0,"99,99","831927,1355","1179066,1968","Parada La Mota","101,100265180758","16"
149229,"1607003",1,"Normal","16070030038",,0,"94,49","831925,3145","1179097,8514","Parada La Mota","76,8603130063595","16"
149230,"1607003",1,"Normal","16070030047",,0,"101,49","831965,1157","1178997,4609","Parada La Mota","179,321526726541","16"
150713,"1607003",1,"Normal","16070030039",,0,"91,42","831918,3889","1179098,1214","Parada La Mota","71,4455003721141","16"
153711,"1607003",1,"Normal","16070030052",,0,"101,49","831949,0734","1179028,5672","Parada La Mota","144,513475887247","16"
268836,"1607003",1,"Normal","16070030054",,0,"101,49","831942,6565","1179041,0098","Parada La Mota","130,631406380772","16"
315895,"1607003",1,"Normal","16070030042",,0,"101,5","831981,1574","1178966,3544","Parada La Mota","214,219067317352","16"
315899,"1607003",1,"Normal","16070030041",,0,"90,99","831983,6694","1178960,0119","Parada La Mota","220,935981119324","16"
315900,"1607003",1,"Normal","16070030043",,0,"101,49","831977,9491","1178972,576","Parada La Mota","207,234346134711","16"
315901,"1607003",1,"Normal","16070030044",,0,"101,49","831974,7413","1178978,7975","Parada La Mota","200,252207045414","16"
322985,"1607003",1,"Normal","16070030003",,0,"94,49","832002,8957","1178941,7637","Parada La Mota","246,75903646817","16"
322991,"1607003",1,"Normal","16070030001",,0,"169,4","832000,6801","1178924,1861","Parada La Mota","260,447366218212","16"
322992,"1607003",1,"Normal","16070030002",,0,"94,49","832001,4506","1178934,9147","Parada La Mota","251,718077161472","16"
151114,"1607999",1,"Via","16079990010",,0,"1244,61","831692,0615","1179526,4136","Parada La Mota","418,975299244649","16"
132876,"1612027",1,"Normal","16120270006",,0,"156,41","831577,5259","1180113,2764","Parada San Bernando","166,204504060497","16"
134805,"1612073",1,"Normal","16120730049",,0,"136,96","831532,4352","1180296,7935","Parada La Nubia","230,96343872492","16"
137773,"1612075",1,"Lote","16120750035",,0,"116,68","831521,9691","1180316,0701","Parada La Nubia","209,640928499286","16"
141268,"1612027",1,"Normal","16120270008",,0,"169,33","831577,1193","1180127,6379","Parada San Bernando","180,514222611212","16"
141269,"1612027",1,"Normal","16120270007",,0,"173,36","831577,0921","1180120,4817","Parada San Bernando","173,361090820894","16"
141340,"1612074",1,"Normal","16120740021",,0,"192,42","831572,2616","1180184,8263","Parada San Bernando","237,451090464567","16"
142031,"1612075",1,"Normal","16120750004",,0,"89,19","831511,3927","1180318,0506","Parada La Nubia","201,04974091502","16"
142295,"1612073",1,"Normal","16120730050",,0,"145,12","831531,909","1180289,7198","Parada La Nubia","235,953821797084","16"
142615,"1612027",1,"Normal","16120270009",,0,"169,43","831576,5481","1180134,7044","Parada San Bernando","187,530990898601","16"
142805,"1612027",1,"Normal","16120270003",,0,"146,18","831579,9176","1180092,1829","Parada San Bernando","145,438599386273","16"
146219,"1612027",1,"Normal","16120270004",,0,"153,93","831579,5439","1180099,2629","Parada San Bernando","152,442213341107","16"
146226,"1612027",1,"Normal","16120270005",,0,"149,91","831578,4103","1180106,2775","Parada San Bernando","159,308430056931","16"
147372,"1612073",1,"Normal","16120730003",,0,"95,9","831517,8961","1180273,8374","Parada La Nubia","239,853571833585","16"
