"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
63327,"1112046",1,"Normal","11120460007",,0,"249,28","831739,8494","1183948,076","Estación Floresta","187,864437258334","12"
63629,"1112039",1,"Normal","11120390013",,0,"367,49","831699,3524","1183741,0639","Parada Los Pinos","368,209467701615","12"
63964,"1112040",1,"Normal","11120400011",,0,"283,88","831726,0839","1183883,544","Estación Floresta","253,581816340481","12"
65266,"1112039",1,"Normal","11120390014",,0,"363,97","831701,4949","1183750,938","Parada Los Pinos","377,011637912186","12"
66025,"1112046",1,"Normal","11120460005",,0,"208,68","831729,9388","1183928,0014","Estación Floresta","208,833838293053","12"
66248,"1112046",1,"Normal","11120460006",,0,"248,78","831737,8037","1183938,5888","Estación Floresta","197,508425312079","12"
66298,"1112039",1,"Normal","11120390005",,0,"273,22","831670,1695","1183661,9485","Parada Los Pinos","291,614192967942","12"
66373,"1112039",1,"Normal","11120390018",,0,"371,44","831705,9275","1183793,1961","Estación Floresta","346,004796200945","12"
66454,"1112040",1,"Normal","11120400007",,0,"297,54","831719,6635","1183844,5492","Estación Floresta","293,168883466136","12"
66988,"1112039",1,"Normal","11120390008",,0,"296,43","831684,5878","1183693,1268","Parada Los Pinos","323,418464186603","12"
66989,"1112046",1,"Normal","11120460013",,0,"281,82","831751,093","1184023,8343","Estación Floresta","111,406400860136","12"
67094,"1112039",1,"Normal","11120390015",,0,"357,5","831703,7331","1183760,6998","Estación Floresta","378,601052218889","12"
69147,"1112040",1,"Normal","11120400005",,0,"210,39","831706,9888","1183823,9842","Estación Floresta","315,284260884179","12"
69164,"1112040",1,"Normal","11120400008",,0,"355,46","831724,2419","1183853,4985","Estación Floresta","283,746577312756","12"
69544,"1112039",1,"Normal","11120390006",,0,"218,84","831674,9278","1183674,297","Parada Los Pinos","303,440595476736","12"
70244,"1112039",1,"Normal","11120390017",,0,"257,53","831703,1307","1183781,2382","Estación Floresta","358,271513821305","12"
71201,"1112040",1,"Normal","11120400006",,0,"286,3","831714,8179","1183835,0424","Estación Floresta","303,221987898569","12"
71292,"1112040",1,"Normal","11120400012",,0,"230,47","831723,9602","1183897,513","Estación Floresta","239,90747068147","12"
71663,"1112040",1,"Normal","11120400009",,0,"346,81","831726,5314","1183862,9936","Estación Floresta","274,040477321147","12"
73412,"1112039",1,"Normal","11120390016",,0,"355,74","831705,9531","1183770,393","Estación Floresta","368,671918409476","12"
73509,"1112039",1,"Normal","11120390007",,0,"296,02","831682,3591","1183683,4583","Parada Los Pinos","315,134516037486","12"
73510,"1112046",1,"Normal","11120460012",,0,"208,46","831747,561","1184007,8452","Estación Floresta","127,554952832881","12"
73774,"1112039",1,"Normal","11120390009",,0,"376,64","831690,431","1183702,1173","Parada Los Pinos","333,8903075588","12"
227271,"1112046",1,"Normal","11120460011",,0,"337,09","831754,9991","1183994,2062","Estación Floresta","141,110694219635","12"
231540,"1112046",1,"Normal","11120460008",,0,"350,96","831746,8837","1183956,4869","Estación Floresta","179,056521765917","12"
231546,"1112046",1,"Normal","11120460009",,0,"346,45","831749,0387","1183965,9605","Estación Floresta","169,491060782944","12"
231547,"1112046",1,"Normal","11120460010",,0,"692,67","831752,1517","1183980,0757","Estación Floresta","155,281027753847","12"
300195,"1112040",1,"Normal","11120400010",,0,"345,65","831728,7233","1183872,3771","Estación Floresta","264,461397124899","12"
309536,"1112039",1,"Normal","11120390012",,0,"360,09","831697,0367","1183731,3393","Parada Los Pinos","359,468700553501","12"
309540,"1112039",1,"Normal","11120390010",,0,"370,29","831692,7694","1183711,919","Parada Los Pinos","342,47538604461","12"
309541,"1112039",1,"Normal","11120390011",,0,"364,77","831694,9404","1183721,6607","Parada Los Pinos","350,981850379885","12"
94825,"1201011",1,"Normal","12010110019",,0,"94,94","832039,8555","1185447,8974","Estación Robledo","380,637134571345","12"
71918,"1203006",1,"Normal","12030060003",,0,"167,64","831275,8692","1183226,8907","Parada La América","179,508758432971","12"
72467,"1203999",1,"Via","12039990004",,,"48,66","831267,0287","1183238,7724","Parada La América","189,170902326326","12"
72477,"1203017",1,"Normal","12030170013",,0,"77,98","831378,0072","1183389,3751","Parada Los Pinos","108,931777907681","12"
72525,"1203999",1,"Via","12039990001",,,"50,54","831269,9555","1183248,4968","Parada La América","199,308308168476","12"
72538,"1203999",1,"Via","12039990005",,,"96,84","831314,7076","1183340,2311","Parada Los Pinos","188,494832280453","12"
73641,"1203017",1,"Normal","12030170009",,0,"91,53","831357,9509","1183368,3034","Parada Los Pinos","138,062434862226","12"
73912,"1203017",1,"Normal","12030170006",,0,"203,04","831344,9788","1183350,6921","Parada Los Pinos","159,860712795619","12"
73913,"1203006",1,"Normal","12030060017",,0,"134,55","831304,4506","1183296,819","Parada Los Pinos","227,228406751174","12"
74166,"1203006",1,"Normal","12030060016",,0,"103,51","831307,7839","1183309,2862","Parada Los Pinos","215,608811297445","12"
74806,"1203006",1,"Normal","12030060005",,0,"166,1","831280,3122","1183246,1936","Parada La América","199,366684039704","12"
74881,"1203006",1,"Normal","12030060015",,0,"94,94","831309,5409","1183315,2898","Parada Los Pinos","209,965904078666","12"
74972,"1203006",1,"Normal","12030060010",,0,"66,25","831295,0936","1183292,2366","Parada Los Pinos","236,822659352673","12"
75077,"1203006",1,"Normal","12030060008",,0,"125,61","831288,7519","1183275,3104","Parada La América","229,75616383966","12"
75083,"1203017",1,"Normal","12030170011",,0,"123,84","831368,6769","1183375,9803","Parada Los Pinos","125,161531363442","12"
75488,"1203999",1,"Via","12039990006",,,"32,06","831306,6615","1183328,9808","Parada Los Pinos","202,114455165201","12"
75816,"1203014",1,"Edificio","12030140001",,30,"194,45","831613,7407","1183555,1638","Parada Los Pinos","183,526012019433","12"
75858,"1203999",1,"Via","12039990016",,0,"51,48","831265,2599","1183228,9182","Parada La América","179,130779611678","12"
75977,"1203017",1,"Normal","12030170014",,0,"114,55","831384,6202","1183392,7071","Parada Los Pinos","102,037909347953","12"
76689,"1203999",1,"Via","12039990011",,,"47,98","831290,8072","1183299,7798","Parada Los Pinos","234,11472112223","12"
76896,"1203999",1,"Via","12039990008",,,"46,1","831299,0744","1183317,8652","Parada Los Pinos","215,344127179133","12"
76897,"1203999",1,"Via","12039990009",,,"44,1","831296,1001","1183312,0899","Parada Los Pinos","221,550299168406","12"
77445,"1203014",1,"Edificio","12030140001",,15,"198,9","831415,3761","1183413,0142","Parada Los Pinos","67,2279824478012","12"
77660,"1203006",1,"Normal","12030060014",,0,"75,64","831311,6923","1183321,2347","Parada Los Pinos","204,132340034538","12"
77661,"1203006",1,"Normal","12030060012",,0,"56,88","831316,7314","1183334,7481","Parada Los Pinos","190,886975993643","12"
77855,"1203006",1,"Normal","12030060006",,0,"159,31","831282,8626","1183256,045","Parada La América","209,572073789574","12"
77932,"1203017",1,"Normal","12030170007",,0,"125,21","831352,2593","1183359,4868","Parada Los Pinos","148,433224108898","12"
78032,"1203017",1,"Normal","12030170010",,0,"108,96","831363,1511","1183372,0614","Parada Los Pinos","131,773489715256","12"
78299,"1203999",1,"Via","12039990013",,,"49,78","831284,1276","1183286,5981","Parada La América","239,654540070385","12"
78300,"1203999",1,"Via","12039990014",,,"52,17","831280,175","1183277,2371","Parada La América","229,626504338413","12"
78301,"1203999",1,"Via","12039990015",,,"48,21","831276,2629","1183267,9456","Parada La América","219,689832728616","12"
78351,"1203006",1,"Normal","12030060009",,0,"102,87","831291,7826","1183284,696","Parada La América","239,631494250331","12"
78525,"1203014",1,"Edificio","12030140001",,16,"200,14","831434,8297","1183422,7182","Parada Los Pinos","49,8338602158334","12"
78526,"1203014",1,"Edificio","12030140001",,31,195,"831631,5726","1183576,6815","Parada Los Pinos","203,01840901725","12"
79077,"1203006",1,"Normal","12030060007",,0,"144,02","831285,7061","1183265,6988","Parada La América","219,658850775092","12"
79348,"1203017",1,"Normal","12030170008",,0,"90,19","831354,2659","1183364,3142","Parada Los Pinos","143,501616053271","12"
79572,"1203999",1,"Via","12039990010",,,"47,38","831293,5471","1183306,0091","Parada Los Pinos","227,701642653981","12"
79916,"1203014",1,"Edificio","12030140001",,18,"189,52","831481,2183","1183444,7316","Parada Los Pinos","38,7360328291988","12"
82295,"1203999",1,"Via","12039990002",,0,"51,86","831272,8742","1183258,418","Parada La América","209,64198152249","12"
82633,"1203006",1,"Normal","12030060013",,0,"62,3","831313,7283","1183327,2284","Parada Los Pinos","198,374648322813","12"
82637,"1203999",1,"Via","12039990007",,,"28,71","831303,4008","1183323,4036","Parada Los Pinos","208,359902102006","12"
82803,"1203014",1,"Edificio","12030140001",,17,"200,24","831462,0658","1183435,2324","Parada Los Pinos","35,9844530487739","12"
82929,"1203006",1,"Normal","12030060004",,0,"168,74","831277,842","1183236,4935","Parada La América","189,328154355281","12"
268550,"1203006",1,"Normal","12030060011",,0,"122,29","831306,023","1183303,1824","Parada Los Pinos","221,364011574058","12"
286974,"1203999",1,"Via","12039990012",,,"34,91","831287,3322","1183294,0482","Parada Los Pinos","240,684721163582","12"
82461,"1211001",1,"Normal","12110010012",,0,"178,39","831156,9196","1182461,2091","Parada Simón Bolivar","257,054824929494","12"
71936,"1204001",1,"Normal","12040010001",,0,"89,98","831206,7272","1183049,6066","Parada La América","24,2765316670434","12"
75703,"1204001",1,"Normal","12040010002",,0,"113,53","831198,2535","1183048,7873","Parada La América","32,7710597151625","12"
75888,"1204001",1,"Normal","12040010020",,0,89,"831205,5597","1183064,3646","Parada La América","27,2790568128393","12"
77663,"1204001",1,"Lote","12040010018",,0,"21,57","831214,6254","1183077,7908","Parada La América","28,9988138784127","12"
78434,"1204001",1,"Normal","12040010019",,0,"101,32","831205,4524","1183071,4468","Parada La América","30,8544702487094","12"
79222,"1204999",1,"Via","12049990013",,,"19,59","831213,3583","1183063,6544","Parada La América","19,9724000589865","12"
81876,"1204001",1,"Normal","12040010017",,0,"110,61","831205,2334","1183078,5507","Parada La América","35,6027966726172","12"
82368,"1204001",1,"Normal","12040010021",,0,"94,65","831204,587","1183057,0681","Parada La América","26,2845111830515","12"
82604,"1204001",1,"Normal","12040010016",,0,"124,95","831206,7783","1183085,4983","Parada La América","39,8425691341137","12"
14229,"1205009",1,"Normal","12050090021",,0,284,"831618,6281","1183676,4256","Parada Los Pinos","266,424876969893","12"
14230,"1205009",1,"Normal","12050090022",,0,"167,38","831618,1465","1183667,0279","Parada Los Pinos","258,839127796211","12"
72646,"1205042",1,"Normal","12050420024",,0,"342,22","831686,9943","1183987,8947","Estación Floresta","161,696946113251","12"
72697,"1205009",1,"Normal","12050090019",,0,"257,71","831622,3216","1183693,5651","Parada Los Pinos","282,243211983541","12"
72698,"1205009",1,"Normal","12050090018",,0,"428,68","831626,3939","1183704,4351","Parada Los Pinos","293,407139634025","12"
73551,"1205042",1,"Normal","12050420001",,0,"311,68","831680,5961","1183937,2598","Estación Floresta","211,169758638046","12"
74717,"1205009",1,"Normal","12050090020",,0,"265,07","831619,4614","1183685,8489","Parada Los Pinos","274,36098115926","12"
74718,"1205009",1,"Normal","12050090001",,0,"295,6","831606,3322","1183639,872","Parada Los Pinos","230,545435280819","12"
75157,"1205023",1,"Normal","12050230001",,0,"380,62","831656,1258","1183835,0855","Estación Floresta","316,05241879908","12"
75421,"1205042",1,"Normal","12050420027",,0,"243,67","831683,282","1183948,363","Estación Floresta","199,793628796195","12"
75646,"1205009",1,"Normal","12050090024",,0,"230,63","831612,9559","1183651,4548","Parada Los Pinos","243,619338107781","12"
75720,"1205023",1,"Normal","12050230016",,0,"229,77","831671,7708","1183895,5013","Estación Floresta","253,605753992174","12"
77265,"1205023",1,"Normal","12050230015",,0,"332,43","831674,8364","1183907,6746","Estación Floresta","241,060417051024","12"
77333,"1205009",1,"Normal","12050090023",,0,"104,56","831618,9913","1183658,8959","Parada Los Pinos","253,208248362941","12"
78529,"1205001",1,"Normal","12050010023",,0,"150,49","831569,9534","1183597,0441","Parada Los Pinos","174,299084531169","12"
78850,"1205042",1,"Normal","12050420020",,0,"301,54","831707,4247","1184033,0439","Estación Floresta","112,015345586243","12"
82058,"1205023",1,"Normal","12050230021",,0,"282,72","831658,7762","1183846,6639","Estación Floresta","304,188361927028","12"
82373,"1205010",1,"Normal","12050100016",,0,"883,44","831648,6984","1183795,772","Estación Floresta","355,894768462675","12"
150392,"1205010",1,"Normal","12050100019",,0,"310,25","831637,0559","1183754,9489","Parada Los Pinos","341,137160441958","12"
150394,"1205010",1,"Normal","12050100001",,0,"732,8","831632,2012","1183739,7894","Parada Los Pinos","325,763212174682","12"
181171,"1205042",1,"Normal","12050420021",,0,"245,7","831698,4089","1184020,3221","Estación Floresta","127,386619642589","12"
283461,"1205023",1,"Normal","12050230017",,0,"342,55","831664,7015","1183886,7765","Estación Floresta","264,194947386888","12"
71802,"1202009",1,"Normal","12020090014",,0,"229,08","831768,9795","1184311,2547","Estación Floresta","177,608305559436","12"
71926,"1202024",1,"Normal","12020240019",,0,"207,56","831860,6324","1184721,4417","Parada Colombia","181,761105093455","12"
71927,"1202024",1,"Normal","12020240017",,0,"276,08","831861,879","1184744,2064","Parada Colombia","159,996433028441","12"
72160,"1202002",1,"Normal","12020020020",,0,"369,66","831722,6575","1184143,6158","Estación Floresta","31,9751046358393","12"
72161,"1202002",1,"Normal","12020020017",,0,"353,47","831729,0991","1184174,542","Estación Floresta","46,6285667820447","12"
72395,"1202020",1,"Normal","12020200015",,0,"350,09","831809,7768","1184506,0161","Estación Floresta","376,528110324161","12"
72870,"1202010",1,"Normal","12020100016",,0,"371,78","831774,5931","1184377,3135","Estación Floresta","244,10795844744","12"
72871,"1202010",1,"Normal","12020100014",,0,"283,55","831782,1469","1184397,7703","Estación Floresta","265,267834517261","12"
73052,"1202024",1,"Normal","12020240026",,0,"159,99","831825,0985","1184656,566","Parada Colombia","255,285931281306","12"
74834,"1202002",1,"Normal","12020020021",,0,"347,98","831720,5181","1184133,5366","Estación Floresta","32,9153661192249","12"
75182,"1202009",1,"Normal","12020090017",,0,"369,55","831752,944","1184279,193","Estación Floresta","144,765376083428","12"
75183,"1202009",1,"Normal","12020090018",,0,"318,98","831752,8664","1184267,9502","Estación Floresta","133,488239035358","12"
75197,"1202020",1,"Normal","12020200017",,0,"163,9","831805,4041","1184487,6549","Estación Floresta","357,666873438154","12"
75663,"1202002",1,"Normal","12020020015",,0,"286,39","831736,4467","1184193,3688","Estación Floresta","61,0783349213122","12"
